seq.ID	lib.ID	date.seq.run	machine	lane
VCDBYWOI	LB84_B07	220815	A01147	1
VCESIBUB	LB70_G01	211013	A01059	1
VCLPTLQC	LB13_F03	210430	A01059	2
VCTUHVMQ	LB36_E09	211001	A01059	4
VDBVZPTE	LB68_B03	211001	A01059	4
VDDANIWY	LB42_C09	211013	A01059	2
VDFLVBZT	LB32_A06	220915	A01147	1
VDGFPMSE	LB115_B01	220915	A01147	1
VDMWLHQU	LB19_E08	210921	A01059	1
VDSQCRVD	LB75_C12	210921	A01059	2
VEEAHNKY	LB45_A06	210921	A01059	3
VESREJBI	LB5_H07	210430	A01059	2
VETXDSBG	LB122_H05	220815	A01147	1
VEXALTRM	LB20_F04	210430	A01059	3
VFDDPEKQ	LB47_B01	210921	A01059	4
VFDPWDVW	LB47_C04	210921	A01059	4
VFMGLHVW	LB75_A09	210921	A01059	2
VFMJVNPY	LB22_H06	210921	A01059	2
VFTNCAUX	LB13_G01	210430	A01059	2
VFXEWJTO	LB20_G05	210505	A01059	1
VGAPGVJO	LB3_B03	210430	A01059	1
VGDFMNZI	LB77_A11	211001	A01059	3
VGDWRTDP	LB109_B06	220815	A01147	4
VGKSKEQM	LB130_E03	220915	A01147	2
VGQESFNR	LB126_B08	220915	A01147	2
VGWLWNPV	LB115_D12	220915	A01147	1
VGYMWKMX	LB3_H02	210430	A01059	1
VHDFRXWE	LB47_C06	210921	A01059	4
VHFKVXKG	LB131_C06	220915	A01147	3
VHMXLBIS	LB33_E04	210921	A01059	4
VHQXSAHN	LB44_D07	210921	A01059	3
VHTCYRBU	LB10_C02	210430	A01059	4
VILRKWDJ	LB60_H01	211013	A01059	1
VIQVZPWP	LB77_G03	211001	A01059	3
VITRYJLJ	LB32_A05	210921	A01059	4
VITWCLHB	LB102_F09	220915	A01147	1
VIWHOYLB	LB29_G06	210921	A01059	3
VJNVMZIN	LB14_F01	210430	A01059	2
VJRRCJBO	LB131_F02	220915	A01147	3
VJVWWICT	LB22_D09	210921	A01059	2
VKCOOCFZ	LB126_G09	220915	A01147	2
VKCPWOHU	LB42_D04	211013	A01059	2
VKCQOMBA	LB15_H01	210505	A01059	1
VKFZRBWO	LB15_E04	210430	A01059	1
VKGBDYFX	LB11_A03	210430	A01059	3
VKHVJMBS	LB25_H06	211109	A01059	1
VKWVRWIZ	LB115_B11	220915	A01147	1
VKXBKVKZ	LB81_A04	211001	A01059	2
VKZMLEIP	LB115_H09	220915	A01147	1
VLBYCOIF	LB17_G02	210921	A01059	1
VLCFCJMV	LB77_A07	211001	A01059	3
VLFPTHLU	LB31_C08	211109	A01059	2
VLVJZJVL	LB32_C09	210921	A01059	4
VMAPWZXV	LB8_C11	210505	A01059	1
VMBNVRQO	LB17_H03	210921	A01059	1
VMHKQKXP	LB122_E09	220815	A01147	1
